Anio,Cliente,Costos,Año,Trimestre,Mes,Día,Hora,Ingresos,Periodo,Producto,Region,Tipo de Producto,Utilidad,Margen
2019,Abshire-Price,42.84,2019,Trim. 1,enero,3,1899-12-30 20:46:23,64.92,2,"Trout - Hot Smkd, Dbl Fillet",Canada,CHOTUS,22.08,0.12 %
2019,Abshire-Price,43.92,2019,Trim. 1,enero,7,1899-12-30 00:25:16,66,6,"Trout - Hot Smkd, Dbl Fillet",Canada,CHOTUS,22.08,0.12 %
2019,Abshire-Price,32.92,2019,Trim. 1,enero,8,1899-12-30 05:40:20,55,6,White Baguette,Canada,SALF,22.08,0.12 %
2019,Abshire-Price,43.44,2019,Trim. 1,enero,10,1899-12-30 11:16:55,80,2,Muffin - Mix - Creme Brule 15l,Canada,CHOTUS,36.56,0.21 %
2019,Abshire-Price,54.3,2019,Trim. 1,enero,12,1899-12-30 15:29:09,100,5,Muffin - Mix - Creme Brule 15l,Canada,CHOTUS,45.7,0.26 %
2019,Abshire-Price,62.78,2019,Trim. 1,enero,25,1899-12-30 03:52:41,162.5,4,Juice - Apple Cider,Canada,QUOKAR,99.72,0.56 %
2019,Abshire-Price,23.84,2019,Trim. 1,enero,29,1899-12-30 07:59:56,100.5,4,Roe - White Fish,Canada,CHOTUS,76.66,0.43 %
2019,Abshire-Price,37.96,2019,Trim. 1,febrero,5,1899-12-30 14:58:44,66,2,Wine - Sawmill Creek Autumn,Canada,DAWNE,28.04,0.16 %
2019,Abshire-Price,25.61,2019,Trim. 1,febrero,20,1899-12-30 14:12:34,104,6,Roe - White Fish,Canada,CHOTUS,78.39,0.44 %
2019,Abshire-Price,150.15,2019,Trim. 1,marzo,1,1899-12-30 21:21:57,217.5,5,Blueberries - Frozen,Canada,DAWNE,67.35,0.38 %
2019,Abshire-Price,11.98,2019,Trim. 1,marzo,3,1899-12-30 21:11:42,90,3,Roe - White Fish,Canada,CHOTUS,78.02,0.44 %
2019,Abshire-Price,43.44,2019,Trim. 1,marzo,5,1899-12-30 18:06:37,80,6,Muffin - Mix - Creme Brule 15l,Canada,CHOTUS,36.56,0.21 %
2019,Abshire-Price,46.28,2019,Trim. 1,marzo,20,1899-12-30 04:51:08,146,3,Juice - Apple Cider,Canada,QUOKAR,99.72,0.56 %
2019,Abshire-Price,41.15,2019,Trim. 1,marzo,22,1899-12-30 23:03:20,68.75,5,White Baguette,Canada,SALF,27.6,0.16 %
2019,Abshire-Price,33.44,2019,Trim. 1,marzo,27,1899-12-30 02:30:06,70,3,Muffin - Mix - Creme Brule 15l,Canada,CHOTUS,36.56,0.21 %
2019,Abshire-Price,30.96,2019,Trim. 2,abril,9,1899-12-30 00:20:59,59,3,Wine - Sawmill Creek Autumn,Canada,DAWNE,28.04,0.16 %
2019,Abshire-Price,76.84,2019,Trim. 2,abril,9,1899-12-30 18:40:55,148.56,2,V8 - Vegetable Cocktail,Canada,QUOKAR,71.72,0.40 %
2019,Abshire-Price,120.12,2019,Trim. 2,abril,9,1899-12-30 23:47:03,174,6,Blueberries - Frozen,Canada,DAWNE,53.879999999999995,0.30 %
2019,Abshire-Price,71.53,2019,Trim. 2,abril,13,1899-12-30 09:11:26,143.25,4,V8 - Vegetable Cocktail,Canada,QUOKAR,71.72,0.40 %
2019,Abshire-Price,47.45,2019,Trim. 2,abril,22,1899-12-30 03:56:53,82.5,5,Wine - Sawmill Creek Autumn,Canada,DAWNE,35.05,0.20 %
2019,Abshire-Price,35.92,2019,Trim. 2,abril,24,1899-12-30 02:54:52,58,3,"Trout - Hot Smkd, Dbl Fillet",Canada,CHOTUS,22.08,0.12 %
2019,Abshire-Price,30.72,2019,Trim. 2,abril,29,1899-12-30 20:11:47,52.8,2,White Baguette,Canada,SALF,22.08,0.12 %
2019,Abshire-Price,74.6,2019,Trim. 2,abril,30,1899-12-30 10:08:08,164.25,1,Octopus,Canada,DONANY,89.65,0.50 %
2019,Abshire-Price,36.21,2019,Trim. 2,mayo,7,1899-12-30 14:04:32,64.25,4,Wine - Sawmill Creek Autumn,Canada,DAWNE,28.04,0.16 %
2019,Abshire-Price,119.4,2019,Trim. 2,mayo,12,1899-12-30 13:25:12,186.75,1,Skirt - 29 Foot,Canada,QUOKAR,67.35,0.38 %
2019,Abshire-Price,85.35,2019,Trim. 2,mayo,13,1899-12-30 05:54:19,210,5,Juice - Apple Cider,Canada,QUOKAR,124.65,0.70 %
2019,Abshire-Price,111.87,2019,Trim. 2,mayo,15,1899-12-30 00:16:54,165.75,4,Blueberries - Frozen,Canada,DAWNE,53.879999999999995,0.30 %
2019,Abshire-Price,42.2,2019,Trim. 2,mayo,16,1899-12-30 01:37:25,77.25,1,Wine - Semi Dry Riesling Vineland,Canada,DAWNE,35.05,0.20 %
2019,Abshire-Price,126.08,2019,Trim. 2,mayo,16,1899-12-30 11:17:40,180,6,Cheese - Camembert,Canada,GAMBO,53.92,0.30 %
2019,Abshire-Price,68.28,2019,Trim. 2,mayo,20,1899-12-30 09:52:18,168,6,Juice - Apple Cider,Canada,QUOKAR,99.72,0.56 %
2019,Abshire-Price,46.8,2019,Trim. 3,julio,8,1899-12-30 21:42:27,92.5,1,"Beef - Baby, Liver",Canada,CHOTUS,45.7,0.26 %
2019,Abshire-Price,26.17,2019,Trim. 3,julio,19,1899-12-30 22:36:05,48.25,3,White Baguette,Canada,SALF,22.08,0.12 %
2019,Abshire-Price,87.12,2019,Trim. 3,julio,21,1899-12-30 12:50:34,141,3,Blueberries - Frozen,Canada,DAWNE,53.879999999999995,0.30 %
2019,Abshire-Price,120.08,2019,Trim. 3,julio,25,1899-12-30 09:22:43,174,4,Cheese - Camembert,Canada,GAMBO,53.92,0.30 %
2019,Abshire-Price,32.92,2019,Trim. 3,agosto,14,1899-12-30 18:44:51,55,4,White Baguette,Canada,SALF,22.08,0.12 %
2019,Abshire-Price,163.92,2019,Trim. 3,agosto,16,1899-12-30 06:21:56,217.84,2,Cheese - Camembert,Canada,GAMBO,53.920000000000016,0.30 %
2019,Abshire-Price,37.96,2019,Trim. 3,agosto,23,1899-12-30 13:52:36,66,6,Wine - Sawmill Creek Autumn,Canada,DAWNE,28.04,0.16 %
2019,Abshire-Price,48.9,2019,Trim. 3,septiembre,1,1899-12-30 06:04:32,76.5,1,Coffee - Espresso,Canada,DONANY,27.6,0.16 %
2019,Abshire-Price,157.6,2019,Trim. 3,septiembre,2,1899-12-30 21:43:36,225,5,Cheese - Camembert,Canada,GAMBO,67.4,0.38 %
2019,Abshire-Price,32.74,2019,Trim. 3,septiembre,4,1899-12-30 13:35:09,130,5,Roe - White Fish,Canada,CHOTUS,97.25999999999999,0.55 %
2019,Abshire-Price,41.92,2019,Trim. 3,septiembre,6,1899-12-30 00:40:15,64,4,"Trout - Hot Smkd, Dbl Fillet",Canada,CHOTUS,22.08,0.12 %
2019,Abshire-Price,40.94,2019,Trim. 3,septiembre,10,1899-12-30 15:34:19,77.5,4,Muffin - Mix - Creme Brule 15l,Canada,CHOTUS,36.56,0.21 %
2019,Abshire-Price,177.48,2019,Trim. 3,septiembre,11,1899-12-30 20:35:31,277.2,2,Juice - Apple Cider,Canada,QUOKAR,99.72,0.56 %
2019,Abshire-Price,54.9,2019,Trim. 3,septiembre,21,1899-12-30 04:33:40,82.5,5,"Trout - Hot Smkd, Dbl Fillet",Canada,CHOTUS,27.6,0.16 %
2019,Abshire-Price,78.28,2019,Trim. 4,noviembre,2,1899-12-30 09:21:43,150,6,V8 - Vegetable Cocktail,Canada,QUOKAR,71.72,0.40 %
2019,Abshire-Price,17.57,2019,Trim. 4,noviembre,13,1899-12-30 05:28:17,115.5,1,Cape Capensis - Fillet,Canada,QUOKAR,97.93,0.55 %
